epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,926.104,0.74911,0.45884,0.97607,0.99324,0.98824,0.99427,0.80929,0.72143,0.40217,0.95898,0.000660045,0.000660045,0.000660045
43,947.675,0.76155,0.46524,0.99019,0.96775,0.99263,0.99162,0.80549,0.72852,0.42144,0.9593,0.000649046,0.000649046,0.000649046
44,969.316,0.75527,0.45874,0.98236,0.98876,0.99216,0.99439,0.80947,0.72414,0.40197,0.96202,0.000638047,0.000638047,0.000638047
45,991.038,0.77396,0.4589,0.9938,0.9814,0.98814,0.9932,0.80029,0.74758,0.41253,0.97085,0.000627048,0.000627048,0.000627048
46,1013.2,0.73953,0.45022,0.97889,0.98682,0.9899,0.9941,0.81235,0.71122,0.39612,0.95656,0.000616049,0.000616049,0.000616049
47,1035.32,0.74396,0.44223,0.97734,0.96937,0.98627,0.99105,0.80478,0.71317,0.4044,0.95776,0.000605051,0.000605051,0.000605051
48,1057.29,0.7543,0.44856,0.9876,0.99246,0.98719,0.99445,0.8086,0.71828,0.38757,0.96381,0.000594052,0.000594052,0.000594052
49,1079.86,0.73618,0.44948,0.98402,0.99395,0.98657,0.99391,0.81546,0.70419,0.38928,0.95602,0.000583053,0.000583053,0.000583053
50,1101.74,0.74669,0.44534,0.97766,0.98949,0.98785,0.99391,0.82148,0.70159,0.39251,0.95372,0.000572054,0.000572054,0.000572054
51,1123.66,0.73434,0.44182,0.97664,0.9937,0.98228,0.99354,0.81733,0.69992,0.39194,0.94939,0.000561055,0.000561055,0.000561055
52,1145.67,0.73579,0.43449,0.97437,0.99407,0.98696,0.99438,0.81169,0.7107,0.38235,0.95283,0.000550056,0.000550056,0.000550056
53,1167.69,0.74483,0.43141,0.97959,0.99339,0.98995,0.99446,0.80783,0.71432,0.38067,0.95339,0.000539057,0.000539057,0.000539057
54,1189.76,0.74113,0.42769,0.97781,0.99252,0.98724,0.99414,0.81033,0.72026,0.37393,0.95492,0.000528058,0.000528058,0.000528058
55,1211.43,0.74819,0.43307,0.98444,0.99381,0.98702,0.99423,0.81548,0.70208,0.37693,0.95094,0.000517059,0.000517059,0.000517059
56,1233.42,0.72952,0.42588,0.9825,0.99658,0.97344,0.99306,0.81949,0.69194,0.3751,0.94899,0.00050606,0.00050606,0.00050606
57,1255.13,0.72695,0.42245,0.98131,0.99173,0.99063,0.99452,0.81752,0.69648,0.37059,0.95296,0.000495062,0.000495062,0.000495062
58,1277.31,0.74228,0.42524,0.98345,0.99396,0.97968,0.99301,0.81908,0.71325,0.37806,0.9567,0.000484063,0.000484063,0.000484063
59,1299.25,0.74368,0.42758,0.98168,0.98886,0.98882,0.99332,0.81814,0.71508,0.3762,0.95763,0.000473064,0.000473064,0.000473064
60,1321.66,0.72962,0.4225,0.98165,0.98309,0.98118,0.99212,0.80456,0.7156,0.37815,0.95825,0.000462065,0.000462065,0.000462065
61,1343.97,0.72527,0.41025,0.97799,0.95818,0.99549,0.99063,0.80607,0.71112,0.37906,0.95525,0.000451066,0.000451066,0.000451066
62,1366.46,0.7302,0.41739,0.96441,0.95562,0.99546,0.98946,0.80662,0.70654,0.3815,0.95207,0.000440067,0.000440067,0.000440067
63,1388.51,0.75041,0.42405,0.99236,0.97787,0.97909,0.99106,0.8079,0.71327,0.38933,0.95702,0.000429068,0.000429068,0.000429068
64,1410.14,0.71061,0.41571,0.97946,0.99524,0.97543,0.99283,0.80894,0.71377,0.37208,0.95945,0.000418069,0.000418069,0.000418069
65,1431.95,0.73999,0.41931,0.98149,0.98745,0.98898,0.99362,0.81541,0.70456,0.3687,0.95671,0.00040707,0.00040707,0.00040707
66,1453.51,0.72704,0.40894,0.97954,0.98693,0.98146,0.9937,0.81964,0.69848,0.37229,0.94805,0.000396071,0.000396071,0.000396071
67,1475.68,0.7172,0.4094,0.97898,0.99088,0.98618,0.99412,0.81765,0.70042,0.36276,0.94974,0.000385073,0.000385073,0.000385073
68,1498.24,0.7314,0.41506,0.97621,0.97188,0.97931,0.99129,0.81298,0.70066,0.37037,0.94932,0.000374074,0.000374074,0.000374074
69,1521.19,0.73393,0.41059,0.97838,0.98764,0.97892,0.99179,0.81878,0.70119,0.36241,0.95144,0.000363075,0.000363075,0.000363075
70,1543.21,0.71641,0.39824,0.97489,0.9851,0.98912,0.99402,0.81843,0.69626,0.35486,0.94981,0.000352076,0.000352076,0.000352076
71,1565.19,0.69809,0.39669,0.96841,0.97912,0.99013,0.99377,0.8157,0.6985,0.35551,0.95095,0.000341077,0.000341077,0.000341077
72,1587.11,0.72688,0.40774,0.98109,0.9785,0.97715,0.99114,0.81408,0.7064,0.36324,0.95258,0.000330078,0.000330078,0.000330078
